codigo do produto,EAN,bebidas,Prc Ant V,Prc Atu V,Prc Ant A,Prc Atu A,Of
7808725408186,162017-7,VH.CHILANO VALLE CENTRAL PINK MOSC.750ML,19.98,19.98,0.00,0.00,S
7808725406021,161357-0,VH.CHILANO VALLE CENTRAL ROSE 750ML,19.98,19.98,0.00,0.00,S
7808725400340,161358-8,VH.CHILANO VALLE CENTRAL SYRAH 750ML,19.98,19.98,0.00,0.00,S
8436013812163,152798-3,VH.CONDESA DE LEGANZA VERDEJI 750ML,49.90,52.40,0.00,0.00,
7897015211582,174495-0,VH.DEL GRANO BASSO TRAD.BORDO SUAVE 1L,27.50,30.90,0.00,0.00,
7896072910957,55234-8,VH.DOM BOSCO BCO.SUAVE 750ML,11.98,11.98,0.00,0.00,S
7896072902945,55234-8,VH.DOM BOSCO.SUAVE 750ML,11.98,11.98,0.00,0.00,S
7896072903584,91622-6,VH.DOM BOSCO BORDO TT.SECO 750ML,17.79,11.98,0.00,0.00,S
7896072903577,91620-0,VH.DOM BOSCO BORDO TT.SUAVE 750ML,17.98,11.98,0.00,0.00,S
7896072910971,63102-7,VH.DOM BOSCO TTO.SECO 750ML,11.98,11.98,0.00,0.00,S
7896072902938,63102-7,VH.DOM BOSCO TTO.SECO 750ML,11.98,11.98,0.00,0.00,S
789672911183,54294-0,VH.DOM BOSCO TTO.SUAVE 750ML,11.98,11.98,0.00,0.00,S
7896072902921,54292-0,VH.DOM BOSCO TTO.SUAVE 750ML,11.98,11.98,0.00,0.00,S
8410441512956,152793-2,VH.FAUSTINO I RIOJA GR.RESERVA TTO.750ML,198.90,221.00,0.00,0.00,
8437001839230,152792-4,VH.FORTIUS ROBLE NAVARRA TTO.750ML,69.90,72.90,0.00,0.00,
84370018389905,152792-4,VH.FORTIUS ROBLE NAVARRA TTO.750ML,69.90,69.90,0.00,0.00,
7790762052494,152628-6,VH.GRAN MASCOTA MALBEC 750ML,98.90,132.00,0.00,0.00,
7791540051029,99407-3,VH.HERFORD GR.RESERVE MALBEC ARG.750ML,69.90,69.90,0.00,0.00,
77915401400297,96717-3,VH.HEREFORD MALBEC 750ML,29.90,34.80,0.00,0.00,
7791540091827,99398-0,VH.HEREFORD ROSE ARGENTINA 760ML,29.90,34.80,0.00,0.00,
8436035772841,15787-8,VH.PORTIA ROBLE TTO.750ML,98.90,115.00,0.00,0.00,
7899686702376,164364-9,VH.TRILHAS DAS SERRAS CHARDONNAY 750ML,55.90,44.90,0.00,0.00,S
7899686702420,164366-5,VH.TRILHAS DO SERTÃO SYRAH ROSE 750ML,55.90,44.90,0.00,0.00,S
7899686702369,164363-0,VH.TRILHAS DOS PAMPAS TANNAT 750ML,55.90,44.90,0.00,0.00,S
789968672383,164361-4,VH.TRILHAS DOS VALES MERLOT 750ML,55.90,44.90,0.00,0.00,S
7804454002695,70531-4,VH.TUNUPA CARMENERE 750ML,39.90,39.90,0.00,0.00,S
7804454002794,70538-1,VH.TUNUPA GR.RES.CARMENERE 750ML,89.90,96.90,0.00,0.00,
7804454005085,96144-2,VH.TUNUPA LIMITED CARM/MERL/SYRAH 750ML,39.90,39.90,0.00,0.00,S
7804454005092,96146-9,VH.TUNUPA LIMITES SUAVE/VIOG/CHARD.750ML,39.90,39.90,0.00,0.00,S
7804454002770,70540-3,VH.TUNUPA RESERVA CABER.SAUV.750ML,39.90,39.90,0.00,0.00,S
7804454002756,70541-1,VH.TUNUPA RESERVA CARMENERE 750ML,39.90,39.90,0.00,0.00,S
7894454002763,70592-6,VH.TUNUPA RESERVA MERLOT 750ML,39.90,39.90,0.00,0.00,S
7804454002886,70542-0,VH.TUNUPAS RESERVA SAUV.BLANC 750,39.90,39.90,0.00,0.00,S
7804454002701,70529-2,VH.TUNUPA VARIETAL CABER.SAUV.750ML,39.90,39.90,0.00,0.00,S
7804454002688,70528-4,VH.TUNUPA VARIETAL MERLOT 750ML,39.90,39.90,0.00,0.00,S
7804454003555,96259-9,VH.TUNUPA VARIETAL ROSE/CAB.SUAVE.750ML,39.90,39.90,0.00,0.00,S
78904454002732,70532,VH.TUNUPA VARIETAL SUAVIG.BLANC 750ML,39.90,39.90,0.00,0.00,S
50196364,36531-9,WH.BUCHANAN S DELUXE 12 ANOS 1L,149.90,189.90,0.00,0.00
5000196001671,36531-9,WH.BUCHANAN S DELUXE 12 ANOS 1L,149.90,189.90,0.00,0.00,
5000267013602,22125,WH.J.WALKER RED LABEL 1L,96.90,89.90,0.00,0.00,S




